origin,source_code,theme,portal_name,primary_role,geographic_scope,connector_mode,priority,planned_prompt,initial_status,notes
user_csv,EAUFRANCE_PORTAL,Portail général,Eaufrance,discovery_portal,France,metadata_only,P0,P01,catalog_only,Point d’entrée et catalogue ; ne pas traiter le portail comme un dataset unique.
user_csv,HUBEAU_HYDROMETRIE,"Débits, niveaux, hydrométrie",HydroPortail,hydrometry_api,France,operator_api_bounded,P0,P07,connector_candidate,Fenêtre temporelle et géographique obligatoire ; pagination et limites.
user_csv,HUBEAU_ADES,Eaux souterraines,ADES,groundwater_api,France,operator_api_bounded,P0,P07/P08,connector_candidate,"Piézométrie puis qualité, avec codes de points officiels."
user_csv,SIGES_NETWORK,Hydrogéologie / géologie,SIGES,regional_context_portal,France/régions,deferred_portal_or_ogc,P2,future,catalog_only,Réseau territorial ; inventorier les services régionaux avant tout connecteur.
user_csv,BRGM_INFOTERRE,"Sous-sol, forages, cartes",InfoTerre — BRGM,geology_ogc,France,operator_ogc_or_download,P2,future,connector_candidate,Utiliser les services officiels et limiter les couches au cas d’usage hydrique.
user_csv,HUBEAU_QUALITE_SURFACE,Qualité des cours d’eau et plans d’eau,Naïades,surface_water_quality_api,France,operator_api_allowlist,P0,P08,connector_candidate,Allowlist de paramètres ; unités et limites de quantification conservées.
user_csv,SANDRE_REFERENTIALS,Référentiels et interopérabilité,SANDRE,reference_and_crosswalk,France,operator_download_or_api,P0,P01/P02,reference_priority,Source d’identifiants et vocabulaires ; aucune jointure par nom si un code existe.
user_csv,HUBEAU_BNPE_PRELEVEMENTS,Captages et usages,BNPE,withdrawals_api,France,operator_api_bounded,P0,P08,connector_candidate,Volumes annuels ; absence de déclaration distincte de zéro.
user_csv,SISPEA_SERVICES,Assainissement,Observatoire national des services d’eau et d’assainissement,water_services_indicators,France,operator_download_or_api,P1,future,catalog_only,Indicateurs de services publics ; à cadrer après le MVP de risque hydrique.
user_csv,IFREMER_SEXTANT,Mer et littoral,Ifremer — Sextant,marine_geodata,France/littoral,deferred_ogc_or_download,P2,future,catalog_only,Module littoral distinct ; ne pas charger dans le MVP continental.
user_csv,DATAGOUV_SIE,Données ouvertes,data.gouv.fr — SIE,dataset_discovery,France,metadata_only,P1,P01,catalog_only,Index de jeux ; la source canonique reste le producteur officiel de chaque dataset.
user_csv,GEORISQUES_GEO,Territoire et risques,Géoportail / Géorisques,territorial_hazards,France,operator_api_or_ogc_bounded,P1,future,connector_candidate,Séparer inondation et autres aléas ; vérifier version et authentification de l’API.
recommended_addition,WRI_AQUEDUCT,Stress hydrique mondial,WRI Aqueduct,global_structural_screening,Monde,operator_release_download,P0,P05,connector_candidate,Priorisation mondiale ; compléter par des sources locales.
recommended_addition,EEA_WEI_PLUS,Rareté hydrique européenne,EEA / WISE / WEI+,eu_basin_scarcity,Union européenne,operator_release_download,P0,P06,connector_candidate,Conserver période saisonnière et identifiants de bassin/sous-unité.
recommended_addition,COPERNICUS_EDO,Sécheresse courante,Copernicus European Drought Observatory,current_drought_layer,Europe,operator_wms_wcs_snapshot,P0,P09,connector_candidate,Snapshot daté ; ne pas appeler le service depuis le navigateur.
recommended_addition,USGS_WATER_DATA,Hydrologie États-Unis,USGS Water Data for the Nation,us_hydrology_api,États-Unis,operator_api_bounded,P2,future,catalog_only,"Extension américaine ultérieure, séparée du MVP France/UE/Monde."
